block_id,name,display_name,hardness,resistance,stack_size,diggable,material,transparent,emit_light,filter_light,default_state,min_state_id,max_state_id
0,air,Air,0.0,0.0,64,False,default,True,0,0,0,0,0
1,stone,Stone,1.5,6.0,64,True,mineable/pickaxe,False,0,15,1,1,1
2,granite,Granite,1.5,6.0,64,True,mineable/pickaxe,False,0,15,2,2,2
3,polished_granite,Polished Granite,1.5,6.0,64,True,mineable/pickaxe,False,0,15,3,3,3
4,diorite,Diorite,1.5,6.0,64,True,mineable/pickaxe,False,0,15,4,4,4
5,polished_diorite,Polished Diorite,1.5,6.0,64,True,mineable/pickaxe,False,0,15,5,5,5
6,andesite,Andesite,1.5,6.0,64,True,mineable/pickaxe,False,0,15,6,6,6
7,polished_andesite,Polished Andesite,1.5,6.0,64,True,mineable/pickaxe,False,0,15,7,7,7
8,grass_block,Grass Block,0.6,0.6,64,True,mineable/shovel,False,0,15,9,8,9
9,dirt,Dirt,0.5,0.5,64,True,mineable/shovel,False,0,15,10,10,10
10,coarse_dirt,Coarse Dirt,0.5,0.5,64,True,mineable/shovel,False,0,15,11,11,11
11,podzol,Podzol,0.5,0.5,64,True,mineable/shovel,False,0,15,13,12,13
12,cobblestone,Cobblestone,2.0,6.0,64,True,mineable/pickaxe,False,0,15,14,14,14
13,oak_planks,Oak Planks,2.0,3.0,64,True,mineable/axe,False,0,15,15,15,15
14,spruce_planks,Spruce Planks,2.0,3.0,64,True,mineable/axe,False,0,15,16,16,16
15,birch_planks,Birch Planks,2.0,3.0,64,True,mineable/axe,False,0,15,17,17,17
16,jungle_planks,Jungle Planks,2.0,3.0,64,True,mineable/axe,False,0,15,18,18,18
17,acacia_planks,Acacia Planks,2.0,3.0,64,True,mineable/axe,False,0,15,19,19,19
18,cherry_planks,Cherry Planks,2.0,3.0,64,True,mineable/axe,False,0,15,20,20,20
19,dark_oak_planks,Dark Oak Planks,2.0,3.0,64,True,mineable/axe,False,0,15,21,21,21
20,pale_oak_wood,Pale Oak Wood,2.0,2.0,64,True,mineable/axe,False,0,15,23,22,24
21,pale_oak_planks,Pale Oak Planks,2.0,3.0,64,True,mineable/axe,False,0,15,25,25,25
22,mangrove_planks,Mangrove Planks,2.0,3.0,64,True,mineable/axe,False,0,15,26,26,26
23,bamboo_planks,Bamboo Planks,2.0,3.0,64,True,mineable/axe,False,0,15,27,27,27
24,bamboo_mosaic,Bamboo Mosaic,2.0,3.0,64,True,mineable/axe,False,0,15,28,28,28
25,oak_sapling,Oak Sapling,0.0,0.0,64,True,default,True,0,0,29,29,30
26,spruce_sapling,Spruce Sapling,0.0,0.0,64,True,default,True,0,0,31,31,32
27,birch_sapling,Birch Sapling,0.0,0.0,64,True,default,True,0,0,33,33,34
28,jungle_sapling,Jungle Sapling,0.0,0.0,64,True,default,True,0,0,35,35,36
29,acacia_sapling,Acacia Sapling,0.0,0.0,64,True,default,True,0,0,37,37,38
