recipe_id,result_item,result_count,recipe_type,ingredients,num_distinct_ingredients
1,acacia_boat,1,shaped,acacia_planks,1
2,acacia_door,3,shaped,acacia_planks,1
3,acacia_fence,3,shaped,acacia_planks; stick,2
4,acacia_fence_gate,1,shaped,acacia_planks; stick,2
5,acacia_hanging_sign,6,shaped,stripped_acacia_log; iron_chain,2
6,acacia_pressure_plate,1,shaped,acacia_planks,1
7,acacia_shelf,6,shaped,stripped_acacia_log,1
8,acacia_sign,3,shaped,acacia_planks; stick,2
9,acacia_slab,6,shaped,acacia_planks,1
10,acacia_stairs,4,shaped,acacia_planks,1
11,acacia_trapdoor,2,shaped,acacia_planks,1
12,acacia_wood,3,shaped,acacia_log,1
13,activator_rail,6,shaped,redstone_torch; iron_ingot; stick,3
14,amethyst_block,1,shaped,amethyst_shard,1
15,andesite_slab,6,shaped,andesite,1
16,andesite_stairs,4,shaped,andesite,1
17,andesite_wall,6,shaped,andesite,1
18,anvil,1,shaped,iron_block; iron_ingot,2
19,armor_stand,1,shaped,smooth_stone_slab; stick,2
20,arrow,4,shaped,stick; feather; flint,3
21,bamboo_door,3,shaped,bamboo_planks,1
22,bamboo_fence,3,shaped,bamboo_planks; stick,2
23,bamboo_fence_gate,1,shaped,bamboo_planks; stick,2
24,bamboo_hanging_sign,6,shaped,stripped_bamboo_block; iron_chain,2
25,bamboo_mosaic,1,shaped,bamboo_slab,1
26,bamboo_mosaic_slab,6,shaped,bamboo_mosaic,1
27,bamboo_mosaic_stairs,4,shaped,bamboo_mosaic,1
28,bamboo_pressure_plate,1,shaped,bamboo_planks,1
29,bamboo_raft,1,shaped,bamboo_planks,1
30,bamboo_shelf,6,shaped,stripped_bamboo_block,1
31,bamboo_sign,3,shaped,bamboo_planks; stick,2
32,bamboo_slab,6,shaped,bamboo_planks,1
33,bamboo_stairs,4,shaped,bamboo_planks,1
34,bamboo_trapdoor,2,shaped,bamboo_planks,1
35,barrel,1,shaped,cherry_planks; cherry_slab,2
36,barrel,1,shaped,bamboo_planks; bamboo_slab,2
37,barrel,1,shaped,mangrove_planks; mangrove_slab,2
38,barrel,1,shaped,warped_planks; warped_slab,2
39,barrel,1,shaped,crimson_planks; crimson_slab,2
40,barrel,1,shaped,pale_oak_planks; pale_oak_slab,2
41,barrel,1,shaped,dark_oak_planks; dark_oak_slab,2
42,barrel,1,shaped,acacia_planks; acacia_slab,2
43,barrel,1,shaped,jungle_planks; jungle_slab,2
44,barrel,1,shaped,birch_planks; birch_slab,2
45,barrel,1,shaped,spruce_planks; spruce_slab,2
46,barrel,1,shaped,oak_planks; oak_slab,2
47,beacon,1,shaped,glass; obsidian; nether_star,3
48,beehive,1,shaped,cherry_planks; honeycomb,2
49,beehive,1,shaped,bamboo_planks; honeycomb,2
50,beehive,1,shaped,mangrove_planks; honeycomb,2
51,beehive,1,shaped,warped_planks; honeycomb,2
52,beehive,1,shaped,crimson_planks; honeycomb,2
53,beehive,1,shaped,pale_oak_planks; honeycomb,2
54,beehive,1,shaped,dark_oak_planks; honeycomb,2
55,beehive,1,shaped,acacia_planks; honeycomb,2
56,beehive,1,shaped,jungle_planks; honeycomb,2
57,beehive,1,shaped,birch_planks; honeycomb,2
58,beehive,1,shaped,spruce_planks; honeycomb,2
59,beehive,1,shaped,oak_planks; honeycomb,2
60,birch_boat,1,shaped,birch_planks,1
61,birch_door,3,shaped,birch_planks,1
62,birch_fence,3,shaped,birch_planks; stick,2
63,birch_fence_gate,1,shaped,birch_planks; stick,2
64,birch_hanging_sign,6,shaped,stripped_birch_log; iron_chain,2
65,birch_pressure_plate,1,shaped,birch_planks,1
66,birch_shelf,6,shaped,stripped_birch_log,1
67,birch_sign,3,shaped,birch_planks; stick,2
68,birch_slab,6,shaped,birch_planks,1
69,birch_stairs,4,shaped,birch_planks,1
70,birch_trapdoor,2,shaped,birch_planks,1
71,birch_wood,3,shaped,birch_log,1
72,black_banner,1,shaped,black_wool; stick,2
73,black_bed,1,shaped,cherry_planks; black_wool,2
74,black_bed,1,shaped,bamboo_planks; black_wool,2
75,black_bed,1,shaped,mangrove_planks; black_wool,2
76,black_bed,1,shaped,warped_planks; black_wool,2
77,black_bed,1,shaped,crimson_planks; black_wool,2
78,black_bed,1,shaped,pale_oak_planks; black_wool,2
79,black_bed,1,shaped,dark_oak_planks; black_wool,2
80,black_bed,1,shaped,acacia_planks; black_wool,2
81,black_bed,1,shaped,jungle_planks; black_wool,2
82,black_bed,1,shaped,birch_planks; black_wool,2
83,black_bed,1,shaped,spruce_planks; black_wool,2
84,black_bed,1,shaped,oak_planks; black_wool,2
85,black_bed,1,shapeless,black_dye; blue_bed,2
86,black_carpet,3,shaped,black_wool,1
87,black_carpet,1,shapeless,blue_carpet; black_dye,2
88,black_harness,1,shaped,glass; black_wool; leather,3
89,black_harness,1,shapeless,blue_harness; black_dye,2
90,black_stained_glass,8,shaped,glass; black_dye,2
91,black_stained_glass_pane,16,shaped,black_stained_glass,1
92,black_stained_glass_pane,8,shaped,glass_pane; black_dye,2
93,black_terracotta,8,shaped,terracotta; black_dye,2
94,blackstone_slab,6,shaped,blackstone,1
95,blackstone_stairs,4,shaped,blackstone,1
96,blackstone_wall,6,shaped,blackstone,1
