item_id,name,display_name,stack_size
0,air,Air,64
1,stone,Stone,64
2,granite,Granite,64
3,polished_granite,Polished Granite,64
4,diorite,Diorite,64
5,polished_diorite,Polished Diorite,64
6,andesite,Andesite,64
7,polished_andesite,Polished Andesite,64
8,deepslate,Deepslate,64
9,cobbled_deepslate,Cobbled Deepslate,64
10,polished_deepslate,Polished Deepslate,64
11,calcite,Calcite,64
12,tuff,Tuff,64
13,tuff_slab,Tuff Slab,64
14,tuff_stairs,Tuff Stairs,64
15,tuff_wall,Tuff Wall,64
16,chiseled_tuff,Chiseled Tuff,64
17,polished_tuff,Polished Tuff,64
18,polished_tuff_slab,Polished Tuff Slab,64
19,polished_tuff_stairs,Polished Tuff Stairs,64
20,polished_tuff_wall,Polished Tuff Wall,64
21,tuff_bricks,Tuff Bricks,64
22,tuff_brick_slab,Tuff Brick Slab,64
23,tuff_brick_stairs,Tuff Brick Stairs,64
24,tuff_brick_wall,Tuff Brick Wall,64
25,chiseled_tuff_bricks,Chiseled Tuff Bricks,64
26,dripstone_block,Dripstone Block,64
27,grass_block,Grass Block,64
28,dirt,Dirt,64
29,coarse_dirt,Coarse Dirt,64
30,podzol,Podzol,64
31,rooted_dirt,Rooted Dirt,64
32,mud,Mud,64
33,crimson_nylium,Crimson Nylium,64
34,warped_nylium,Warped Nylium,64
35,cobblestone,Cobblestone,64
36,oak_planks,Oak Planks,64
37,spruce_planks,Spruce Planks,64
38,birch_planks,Birch Planks,64
39,jungle_planks,Jungle Planks,64
40,acacia_planks,Acacia Planks,64
41,cherry_planks,Cherry Planks,64
42,dark_oak_planks,Dark Oak Planks,64
43,pale_oak_planks,Pale Oak Planks,64
44,mangrove_planks,Mangrove Planks,64
45,bamboo_planks,Bamboo Planks,64
46,crimson_planks,Crimson Planks,64
47,warped_planks,Warped Planks,64
48,bamboo_mosaic,Bamboo Mosaic,64
49,oak_sapling,Oak Sapling,64
50,spruce_sapling,Spruce Sapling,64
51,birch_sapling,Birch Sapling,64
52,jungle_sapling,Jungle Sapling,64
53,acacia_sapling,Acacia Sapling,64
54,cherry_sapling,Cherry Sapling,64
55,dark_oak_sapling,Dark Oak Sapling,64
56,pale_oak_sapling,Pale Oak Sapling,64
57,mangrove_propagule,Mangrove Propagule,64
58,bedrock,Bedrock,64
59,sand,Sand,64
60,suspicious_sand,Suspicious Sand,64
61,suspicious_gravel,Suspicious Gravel,64
62,red_sand,Red Sand,64
63,gravel,Gravel,64
64,coal_ore,Coal Ore,64
65,deepslate_coal_ore,Deepslate Coal Ore,64
66,iron_ore,Iron Ore,64
67,deepslate_iron_ore,Deepslate Iron Ore,64
68,copper_ore,Copper Ore,64
69,deepslate_copper_ore,Deepslate Copper Ore,64
70,gold_ore,Gold Ore,64
71,deepslate_gold_ore,Deepslate Gold Ore,64
72,redstone_ore,Redstone Ore,64
73,deepslate_redstone_ore,Deepslate Redstone Ore,64
74,emerald_ore,Emerald Ore,64
75,deepslate_emerald_ore,Deepslate Emerald Ore,64
76,lapis_ore,Lapis Lazuli Ore,64
77,deepslate_lapis_ore,Deepslate Lapis Lazuli Ore,64
78,diamond_ore,Diamond Ore,64
79,deepslate_diamond_ore,Deepslate Diamond Ore,64
80,nether_gold_ore,Nether Gold Ore,64
81,nether_quartz_ore,Nether Quartz Ore,64
82,ancient_debris,Ancient Debris,64
83,coal_block,Block of Coal,64
84,raw_iron_block,Block of Raw Iron,64
85,raw_copper_block,Block of Raw Copper,64
86,raw_gold_block,Block of Raw Gold,64
87,heavy_core,Heavy Core,64
88,amethyst_block,Block of Amethyst,64
89,budding_amethyst,Budding Amethyst,64
90,iron_block,Block of Iron,64
91,copper_block,Block of Copper,64
92,gold_block,Block of Gold,64
93,diamond_block,Block of Diamond,64
94,netherite_block,Block of Netherite,64
95,exposed_copper,Exposed Copper,64
96,weathered_copper,Weathered Copper,64
97,oxidized_copper,Oxidized Copper,64
98,chiseled_copper,Chiseled Copper,64
99,exposed_chiseled_copper,Exposed Chiseled Copper,64
