entity_id,internal_id,name,display_name,type,category,width,height
2,2,allay,Allay,mob,Passive mobs,0.35,0.6
4,4,armadillo,Armadillo,animal,Passive mobs,0.7,0.65
5,5,armor_stand,Armor Stand,living,Immobile,0.5,1.975
7,7,axolotl,Axolotl,animal,Passive mobs,0.75,0.42
10,10,bat,Bat,ambient,UNKNOWN,0.5,0.9
11,11,bee,Bee,animal,Passive mobs,0.7,0.6
14,14,blaze,Blaze,hostile,Hostile mobs,0.6,1.8
16,16,bogged,Bogged,hostile,Hostile mobs,0.6,1.99
17,17,breeze,Breeze,hostile,Hostile mobs,0.6,1.77
19,19,camel,Camel,animal,Passive mobs,1.7,2.375
20,20,camel_husk,Camel Husk,animal,Passive mobs,1.7,2.375
21,21,cat,Cat,animal,Passive mobs,0.6,0.7
22,22,cave_spider,Cave Spider,hostile,Hostile mobs,0.7,0.5
26,26,chicken,Chicken,animal,Passive mobs,0.4,0.7
27,27,cod,Cod,mob,Passive mobs,0.5,0.3
28,28,copper_golem,Copper Golem,mob,Passive mobs,0.49,0.98
30,30,cow,Cow,animal,Passive mobs,0.9,1.4
31,31,creaking,Creaking,hostile,Hostile mobs,0.9,2.7
32,32,creeper,Creeper,hostile,Hostile mobs,0.6,1.7
35,35,dolphin,Dolphin,passive,Passive mobs,0.9,0.6
36,36,donkey,Donkey,animal,Passive mobs,1.3964844,1.5
38,38,drowned,Drowned,hostile,Hostile mobs,0.6,1.95
40,40,elder_guardian,Elder Guardian,hostile,Hostile mobs,1.9975,1.9975
41,41,enderman,Enderman,hostile,Hostile mobs,0.6,2.9
42,42,endermite,Endermite,hostile,Hostile mobs,0.4,0.3
43,43,ender_dragon,Ender Dragon,mob,Hostile mobs,16.0,8.0
46,46,evoker,Evoker,hostile,Hostile mobs,0.6,1.95
54,54,fox,Fox,animal,Passive mobs,0.6,0.7
55,55,frog,Frog,animal,Passive mobs,0.5,0.5
57,57,ghast,Ghast,mob,Hostile mobs,4.0,4.0
58,58,happy_ghast,Happy Ghast,animal,Passive mobs,4.0,4.0
59,59,giant,Giant,hostile,Hostile mobs,3.6,12.0
61,61,glow_squid,Glow Squid,passive,Passive mobs,0.8,0.8
62,62,goat,Goat,animal,Passive mobs,0.9,1.3
63,63,guardian,Guardian,hostile,Hostile mobs,0.85,0.85
64,64,hoglin,Hoglin,animal,Hostile mobs,1.3964844,1.4
66,66,horse,Horse,animal,Passive mobs,1.3964844,1.6
67,67,husk,Husk,hostile,Hostile mobs,0.6,1.95
68,68,illusioner,Illusioner,hostile,Hostile mobs,0.6,1.95
70,70,iron_golem,Iron Golem,mob,Passive mobs,1.4,2.7
78,78,llama,Llama,animal,Passive mobs,0.9,1.87
80,80,magma_cube,Magma Cube,mob,Hostile mobs,0.52,0.52
83,83,mannequin,Mannequin,living,Immobile,0.6,1.8
86,86,mooshroom,Mooshroom,animal,Passive mobs,0.9,1.4
87,87,mule,Mule,animal,Passive mobs,1.3964844,1.6
88,88,nautilus,Nautilus,animal,Passive mobs,0.875,0.95
91,91,ocelot,Ocelot,animal,Passive mobs,0.6,0.7
96,96,panda,Panda,animal,Passive mobs,1.3,1.25
97,97,parched,Parched,hostile,Hostile mobs,0.6,1.99
98,98,parrot,Parrot,animal,Passive mobs,0.5,0.9
99,99,phantom,Phantom,mob,Hostile mobs,0.9,0.5
100,100,pig,Pig,animal,Passive mobs,0.9,0.9
101,101,piglin,Piglin,hostile,Hostile mobs,0.6,1.95
102,102,piglin_brute,Piglin Brute,hostile,Hostile mobs,0.6,1.95
103,103,pillager,Pillager,hostile,Hostile mobs,0.6,1.95
104,104,polar_bear,Polar Bear,animal,Passive mobs,1.4,1.4
107,107,pufferfish,Pufferfish,mob,Passive mobs,0.7,0.7
108,108,rabbit,Rabbit,animal,Passive mobs,0.4,0.5
109,109,ravager,Ravager,hostile,Hostile mobs,1.95,2.2
110,110,salmon,Salmon,mob,Passive mobs,0.7,0.4
111,111,sheep,Sheep,animal,Passive mobs,0.9,1.3
112,112,shulker,Shulker,mob,Hostile mobs,1.0,1.0
114,114,silverfish,Silverfish,hostile,Hostile mobs,0.4,0.3
115,115,skeleton,Skeleton,hostile,Hostile mobs,0.6,1.99
116,116,skeleton_horse,Skeleton Horse,animal,Passive mobs,1.3964844,1.6
117,117,slime,Slime,mob,Hostile mobs,0.52,0.52
119,119,sniffer,Sniffer,animal,Passive mobs,1.9,1.75
121,121,snow_golem,Snow Golem,mob,Passive mobs,0.7,1.9
124,124,spider,Spider,hostile,Hostile mobs,1.4,0.9
127,127,squid,Squid,passive,Passive mobs,0.8,0.8
128,128,stray,Stray,hostile,Hostile mobs,0.6,1.99
129,129,strider,Strider,animal,Hostile mobs,0.9,1.7
130,130,tadpole,Tadpole,mob,Passive mobs,0.4,0.3
134,134,trader_llama,Trader Llama,animal,Passive mobs,0.9,1.87
136,136,tropical_fish,Tropical Fish,mob,Passive mobs,0.5,0.4
137,137,turtle,Turtle,animal,Passive mobs,1.2,0.4
138,138,vex,Vex,hostile,Hostile mobs,0.4,0.8
139,139,villager,Villager,passive,UNKNOWN,0.6,1.95
140,140,vindicator,Vindicator,hostile,Hostile mobs,0.6,1.95
141,141,wandering_trader,Wandering Trader,passive,UNKNOWN,0.6,1.95
142,142,warden,Warden,hostile,Hostile mobs,0.9,2.9
144,144,witch,Witch,hostile,Hostile mobs,0.6,1.95
145,145,wither,Wither,hostile,Hostile mobs,0.9,3.5
146,146,wither_skeleton,Wither Skeleton,hostile,Hostile mobs,0.7,2.4
148,148,wolf,Wolf,animal,Passive mobs,0.6,0.85
149,149,zoglin,Zoglin,hostile,Hostile mobs,1.3964844,1.4
